task,scorer,fit_on,test,auc,ci_lo,ci_hi,n_pos,n_neg
T2_frozen_specificity,phase_sched|lr,TW:Venezuela,TW:IRA,0.7723,0.7376,0.8012,223,875
T2_frozen_specificity,phase_sched|lr,TW:Venezuela,TW:Iran,0.9046,0.8693,0.9349,223,148
T2_frozen_specificity,phase_sched|lr,TW:Venezuela,TW:China,0.7626,0.7326,0.7885,223,1030
T2_frozen_specificity,phase_sched|lr,TW:Venezuela,TW:GRU,0.9393,0.8783,0.9822,223,30
T2_frozen_specificity,phase_sched|lr,TW:China,TW:IRA,0.8524,0.8339,0.8699,1030,875
T2_frozen_specificity,phase_sched|lr,TW:China,TW:Iran,0.8184,0.7887,0.8453,1030,148
T2_frozen_specificity,phase_sched|lr,TW:China,TW:Venezuela,0.9427,0.9311,0.9535,1030,223
T2_frozen_specificity,phase_sched|lr,TW:China,TW:GRU,0.7052,0.6359,0.7775,1030,30
T2_frozen_specificity,phase_sched|gbm,TW:IRA,TW:Iran,0.8553,0.8189,0.8874,875,148
T2_frozen_specificity,phase_sched|gbm,TW:IRA,TW:Venezuela,0.8461,0.8152,0.8733,875,223
T2_frozen_specificity,phase_sched|gbm,TW:IRA,TW:China,0.8167,0.7967,0.8344,875,1030
T2_frozen_specificity,phase_sched|gbm,TW:IRA,TW:GRU,0.772,0.6935,0.8446,875,30
T2_frozen_specificity,phase_sched|gbm,TW:Iran,TW:IRA,0.7521,0.7057,0.7929,148,875
T2_frozen_specificity,phase_sched|gbm,TW:Iran,TW:Venezuela,0.8747,0.8357,0.9069,148,223
T2_frozen_specificity,phase_sched|gbm,TW:Iran,TW:China,0.7769,0.7354,0.8187,148,1030
T2_frozen_specificity,phase_sched|gbm,TW:Iran,TW:GRU,0.5273,0.4144,0.6402,148,30
T2_frozen_specificity,phase_sched|gbm,TW:Venezuela,TW:IRA,0.7599,0.7273,0.7914,223,875
T2_frozen_specificity,phase_sched|gbm,TW:Venezuela,TW:Iran,0.9088,0.8758,0.939,223,148
T2_frozen_specificity,phase_sched|gbm,TW:Venezuela,TW:China,0.7512,0.7181,0.7833,223,1030
T2_frozen_specificity,phase_sched|gbm,TW:Venezuela,TW:GRU,0.8834,0.82,0.9345,223,30
T2_frozen_specificity,phase_sched|gbm,TW:China,TW:IRA,0.8658,0.8497,0.8835,1030,875
T2_frozen_specificity,phase_sched|gbm,TW:China,TW:Iran,0.89,0.8724,0.9106,1030,148
